City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Lorengau,PG,-2.0226,147.2712,80.13,82,92,8.12,overcast clouds
79,Rocha,UY,-34.4833,-54.3333,68.45,55,0,12.46,clear sky
80,Chokurdakh,RU,70.6333,147.9167,-5.94,99,100,3.09,overcast clouds
81,Port-Cartier,CA,50.0334,-66.8654,49.75,79,100,12.55,overcast clouds
82,Parauna,BR,-16.9478,-50.4486,71.28,80,100,15.01,overcast clouds
83,San Patricio,US,28.017,-97.5169,91.49,47,5,9.04,clear sky
84,Frunze,UA,48.6686,38.7544,41.94,59,23,8.55,few clouds
85,Bud,US,39.447,-86.1758,73.58,94,100,11.61,overcast clouds
86,Red Wing,US,44.5625,-92.5338,50.38,57,1,3.0,clear sky
87,Simbahan,PH,6.3032,120.5836,81.84,74,100,4.25,overcast clouds
88,Krasnoselkup,RU,65.7,82.4667,24.15,90,97,20.76,overcast clouds
89,Tuktoyaktuk,CA,69.4541,-133.0374,30.2,93,75,2.3,broken clouds
90,Victoria,HK,22.2855,114.1577,69.33,75,71,1.01,broken clouds
91,Benghazi,LY,32.1167,20.0667,78.96,40,98,15.21,overcast clouds
92,Mansa,IN,29.9833,75.3833,64.54,80,0,1.79,clear sky
93,Atar,MR,20.5169,-13.0499,88.74,18,57,2.13,broken clouds
94,Zihuatanejo,MX,17.6333,-101.55,75.38,94,100,6.42,overcast clouds
95,Padang,ID,-0.9492,100.3543,75.81,93,100,2.48,light rain
96,Egvekinot,RU,66.3167,-179.1667,3.15,88,30,6.4,scattered clouds
97,Mayo,US,38.8876,-76.5119,73.11,63,1,8.01,clear sky
98,Faanui,PF,-16.4833,-151.75,77.63,83,100,12.91,light rain
99,Saint-Pierre,RE,-21.3393,55.4781,73.56,78,0,2.3,clear sky
100,Georgetown,MY,5.4112,100.3354,78.73,93,20,1.01,few clouds
101,Gravdal,NO,68.1214,13.5031,40.89,70,75,8.05,light rain
102,Bredasdorp,ZA,-34.5322,20.0403,53.28,76,0,3.44,clear sky
103,Tiksi,RU,71.6872,128.8694,0.72,100,100,5.32,overcast clouds
104,Nakamura,JP,32.9833,132.9333,56.98,81,100,4.27,moderate rain
105,Carnarvon,AU,-24.8667,113.6333,68.07,73,75,14.97,broken clouds
106,Saskylakh,RU,71.9167,114.0833,-12.33,100,74,4.56,broken clouds
107,Inhambane,MZ,-23.865,35.3833,75.18,88,40,7.0,light rain
108,Katsuura,JP,35.1333,140.3,55.51,62,37,5.48,scattered clouds
109,Chimore,BO,-16.9833,-65.1333,71.38,82,88,1.77,overcast clouds
110,Enshi,CN,30.3,109.4833,51.39,93,65,0.38,broken clouds
111,Kedrovyy,RU,56.1667,91.8167,41.41,76,98,12.82,overcast clouds
112,Bluff,NZ,-46.6,168.3333,52.83,94,100,4.34,overcast clouds
113,Marsa Matruh,EG,31.3525,27.2453,73.6,68,40,11.5,scattered clouds
114,Kahului,US,20.8947,-156.47,80.83,78,40,18.41,scattered clouds
115,Cape Town,ZA,-33.9258,18.4232,60.28,71,20,5.01,few clouds
116,Pokhara,NP,28.2333,83.9833,59.72,71,0,6.93,clear sky
117,Tazovskiy,RU,67.4667,78.7,24.42,94,100,17.16,overcast clouds
118,Ukiah,US,39.1502,-123.2078,59.02,93,90,6.91,mist
119,Mpanda,TZ,-6.3655,31.0409,76.6,52,88,3.18,overcast clouds
120,Broome,US,42.2506,-75.833,55.2,76,90,1.01,overcast clouds
121,Coquimbo,CL,-29.9533,-71.3436,64.13,63,0,14.97,clear sky
122,Rapar,IN,23.5667,70.6333,78.08,60,0,7.45,clear sky
123,Longyearbyen,SJ,78.2186,15.6401,22.84,74,75,6.91,broken clouds
124,Cherskiy,RU,68.75,161.3,-14.08,99,36,5.23,scattered clouds
125,Valuyki,RU,50.2035,38.1067,41.18,71,80,12.28,broken clouds
126,Kanker,IN,20.2719,81.4931,65.19,79,61,2.08,broken clouds
127,Kieta,PG,-6.2167,155.6333,79.23,79,82,0.49,broken clouds
128,Arraial Do Cabo,BR,-22.9661,-42.0278,75.16,83,75,5.75,broken clouds
129,Ribeira Grande,PT,38.5167,-28.7,64.8,72,20,6.91,few clouds
130,Gucheng,CN,35.9115,111.3192,52.59,72,59,0.56,broken clouds
131,Qaanaaq,GL,77.484,-69.3632,-3.05,60,0,11.59,clear sky
132,Vila Velha,BR,-20.3297,-40.2925,84.15,74,20,18.41,few clouds
133,Tilichiki,RU,60.4667,166.1,5.07,93,50,9.04,scattered clouds
134,Norman Wells,CA,65.282,-126.8329,23.04,93,90,4.61,overcast clouds
